"route_id","parent_station","stop_name","stop_lat","stop_lon"
"Red","place-alfcl","Alewife",42.39583,-71.141287
"Red","place-davis","Davis",42.39674,-71.121815
"Red","place-portr","Porter",42.3884,-71.119149
"Red","place-harsq","Harvard",42.373362,-71.118956
"Red","place-cntsq","Central",42.365486,-71.103802
"Red","place-knncl","Kendall/MIT",42.362491,-71.086176
"Red","place-chmnl","Charles/MGH",42.361166,-71.070628
"Red","place-pktrm","Park Street",42.356395,-71.062424
"Red","place-dwnxg","Downtown Crossing",42.355518,-71.060225
"Red","place-sstat","South Station",42.352271,-71.055242
"Red","place-brdwy","Broadway",42.342622,-71.056967
"Red","place-andrw","Andrew",42.330154,-71.057655
"Red","place-jfk","JFK/UMass",42.320685,-71.052391
"Red","place-shmnl","Savin Hill",42.31129,-71.053331
"Red","place-fldcr","Fields Corner",42.300093,-71.061667
"Red","place-smmnl","Shawmut",42.293126,-71.065738
"Red","place-asmnl","Ashmont",42.28452,-71.063777
"Red","place-nqncy","North Quincy",42.275275,-71.029583
"Red","place-wlsta","Wollaston",42.266514,-71.020337
"Red","place-qnctr","Quincy Center",42.251809,-71.005409
"Red","place-qamnl","Quincy Adams",42.233391,-71.007153
"Red","place-brntn","Braintree",42.207854,-71.001138
"Mattapan","place-asmnl","Ashmont",42.28452,-71.063777
"Mattapan","place-cedgr","Cedar Grove",42.279629,-71.060394
"Mattapan","place-butlr","Butler",42.272429,-71.062519
"Mattapan","place-miltt","Milton",42.270349,-71.067266
"Mattapan","place-cenav","Central Avenue",42.270027,-71.073444
"Mattapan","place-valrd","Valley Road",42.268347,-71.081343
"Mattapan","place-capst","Capen Street",42.267563,-71.087338
"Mattapan","place-matt","Mattapan",42.26762,-71.092486
"Orange","place-ogmnl","Oak Grove",42.43668,-71.071097
"Orange","place-mlmnl","Malden Center",42.426632,-71.07411
"Orange","place-welln","Wellington",42.40237,-71.077082
"Orange","place-astao","Assembly",42.392811,-71.077257
"Orange","place-sull","Sullivan Square",42.383975,-71.076994
"Orange","place-ccmnl","Community College",42.373622,-71.069533
"Orange","place-north","North Station",42.365577,-71.06129
"Orange","place-haecl","Haymarket",42.363021,-71.05829
"Orange","place-state","State",42.358978,-71.057598
"Orange","place-dwnxg","Downtown Crossing",42.355518,-71.060225
"Orange","place-chncl","Chinatown",42.352547,-71.062752
"Orange","place-tumnl","Tufts Medical Center",42.349662,-71.063917
"Orange","place-bbsta","Back Bay",42.34735,-71.075727
"Orange","place-masta","Massachusetts Avenue",42.341512,-71.083423
"Orange","place-rugg","Ruggles",42.336377,-71.088961
"Orange","place-rcmnl","Roxbury Crossing",42.331397,-71.095451
"Orange","place-jaksn","Jackson Square",42.323132,-71.099592
"Orange","place-sbmnl","Stony Brook",42.317062,-71.104248
"Orange","place-grnst","Green Street",42.310525,-71.107414
"Orange","place-forhl","Forest Hills",42.300713,-71.113943
"Green","place-gover","Government Center",42.359705,-71.059215
"Green","place-pktrm","Park Street",42.356395,-71.062424
"Green","place-boyls","Boylston",42.35302,-71.06459
"Green","place-armnl","Arlington",42.351902,-71.070893
"Green","place-coecl","Copley",42.349974,-71.077447
"Green","place-hymnl","Hynes Convention Center",42.347888,-71.087903
"Green","place-kencl","Kenmore",42.348949,-71.095169
"Green","place-bland","Blandford Street",42.349293,-71.100258
"Green","place-buest","Boston University East",42.349735,-71.103889
"Green","place-bucen","Boston University Central",42.350082,-71.106865
"Green","place-amory","Amory Street",42.350992,-71.114748
"Green","place-babck","Babcock Street",42.351616,-71.119924
"Green","place-brico","Packard's Corner",42.351967,-71.125031
"Green","place-harvd","Harvard Avenue",42.350243,-71.131355
"Green","place-grigg","Griggs Street",42.348545,-71.134949
"Green","place-alsgr","Allston Street",42.348701,-71.137955
"Green","place-wrnst","Warren Street",42.348343,-71.140457
"Green","place-wascm","Washington Street",42.343864,-71.142853
"Green","place-sthld","Sutherland Road",42.341614,-71.146202
"Green","place-chswk","Chiswick Road",42.340805,-71.150711
"Green","place-chill","Chestnut Hill Avenue",42.338169,-71.15316
"Green","place-sougr","South Street",42.3396,-71.157661
"Green","place-lake","Boston College",42.340081,-71.166769
"Green","place-smary","Saint Mary's Street",42.345974,-71.107353
"Green","place-hwsst","Hawes Street",42.344906,-71.111145
"Green","place-kntst","Kent Street",42.344074,-71.114197
"Green","place-stpul","Saint Paul Street",42.343327,-71.116997
"Green","place-cool","Coolidge Corner",42.342116,-71.121263
"Green","place-sumav","Summit Avenue",42.34111,-71.12561
"Green","place-bndhl","Brandon Hall",42.340023,-71.129082
"Green","place-fbkst","Fairbanks Street",42.339725,-71.131073
"Green","place-bcnwa","Washington Square",42.339394,-71.13533
"Green","place-tapst","Tappan Street",42.338459,-71.138702
"Green","place-denrd","Dean Road",42.337807,-71.141853
"Green","place-engav","Englewood Avenue",42.336971,-71.14566
"Green","place-clmnl","Cleveland Circle",42.336142,-71.149326
"Green","place-unsqu","Union Square",42.377359,-71.094761
"Green","place-lech","Lechmere",42.371572,-71.076584
"Green","place-spmnl","Science Park/West End",42.366664,-71.067666
"Green","place-north","North Station",42.365577,-71.06129
"Green","place-haecl","Haymarket",42.363021,-71.05829
"Green","place-fenwy","Fenway",42.345403,-71.104213
"Green","place-longw","Longwood",42.341702,-71.109956
"Green","place-bvmnl","Brookline Village",42.332608,-71.116857
"Green","place-brkhl","Brookline Hills",42.331316,-71.126683
"Green","place-bcnfd","Beaconsfield",42.335765,-71.140455
"Green","place-rsmnl","Reservoir",42.335088,-71.148758
"Green","place-chhil","Chestnut Hill",42.326753,-71.164699
"Green","place-newto","Newton Centre",42.329443,-71.192414
"Green","place-newtn","Newton Highlands",42.322381,-71.205509
"Green","place-eliot","Eliot",42.319045,-71.216684
"Green","place-waban","Waban",42.325845,-71.230609
"Green","place-woodl","Woodland",42.332902,-71.243362
"Green","place-river","Riverside",42.337352,-71.252685
"Green","place-mdftf","Medford/Tufts",42.407975,-71.117044
"Green","place-balsq","Ball Square",42.399889,-71.111003
"Green","place-mgngl","Magoun Square",42.393682,-71.106388
"Green","place-gilmn","Gilman Square",42.387928,-71.096766
"Green","place-esomr","East Somerville",42.379467,-71.086625
"Green","place-prmnl","Prudential",42.34557,-71.081696
"Green","place-symcl","Symphony",42.342687,-71.085056
"Green","place-nuniv","Northeastern University",42.340401,-71.088806
"Green","place-mfa","Museum of Fine Arts",42.337711,-71.095512
"Green","place-lngmd","Longwood Medical Area",42.33596,-71.100052
"Green","place-brmnl","Brigham Circle",42.334229,-71.104609
"Green","place-fenwd","Fenwood Road",42.333706,-71.105728
"Green","place-mispk","Mission Park",42.333195,-71.109756
"Green","place-rvrwy","Riverway",42.331684,-71.111931
"Green","place-bckhl","Back of the Hill",42.330139,-71.111313
"Green","place-hsmnl","Heath Street",42.328316,-71.110252
"Blue","place-wondl","Wonderland",42.41342,-70.991648
"Blue","place-rbmnl","Revere Beach",42.407843,-70.992533
"Blue","place-bmmnl","Beachmont",42.397542,-70.992319
"Blue","place-sdmnl","Suffolk Downs",42.390501,-70.997123
"Blue","place-orhte","Orient Heights",42.386867,-71.004736
"Blue","place-wimnl","Wood Island",42.37964,-71.022865
"Blue","place-aport","Airport",42.374262,-71.030395
"Blue","place-mvbcl","Maverick",42.369119,-71.03953
"Blue","place-aqucl","Aquarium",42.359784,-71.051652
"Blue","place-state","State",42.358978,-71.057598
"Blue","place-gover","Government Center",42.359705,-71.059215
"Blue","place-bomnl","Bowdoin",42.361365,-71.062037
